time,T,P0,P,U,nRAIN,Td
2022/9/1 0:00,28,755.9,756.2,89,0,26
2022/9/1 1:00,29,755.9,756.2,84,0,26
2022/9/1 2:00,29,755.1,755.4,79,0,25
2022/9/1 3:00,29,755.1,755.4,79,0,25
2022/9/1 4:00,28,755.1,755.4,84,0,25
2022/9/1 5:00,28,755.1,755.4,84,0,25
2022/9/1 6:00,28,755.9,756.2,84,0,25
2022/9/1 7:00,28,755.9,756.2,84,0,25
2022/9/1 8:00,30,756.6,756.9,75,0,25
2022/9/1 9:00,31,756.6,756.9,70,0,25
2022/9/1 10:00,31,756.6,756.9,70,0,25
2022/9/1 11:00,32,756.6,756.9,67,0,25
2022/9/1 12:00,32,756.6,756.9,67,0,25
2022/9/1 13:00,33,755.9,756.2,67,0,26
2022/9/1 14:00,34,755.1,755.4,59,0,25
2022/9/1 15:00,34,754.3,754.6,56,0,24
2022/9/1 16:00,33,754.3,754.6,63,0,25
2022/9/1 17:00,33,754.3,754.6,63,0,25
2022/9/1 18:00,32,755.1,755.4,63,0,24
2022/9/1 19:00,32,755.1,755.4,63,0,24
2022/9/1 20:00,31,755.9,756.2,66,0,24
2022/9/1 21:00,30,755.9,756.2,70,0,24
2022/9/1 22:00,31,756.6,756.9,66,0,24
2022/9/1 23:00,30,755.9,756.2,70,0,24
2022/9/2 0:00,30,755.9,756.2,70,0,24
2022/9/2 1:00,29,755.9,756.2,70,0,23
2022/9/2 2:00,29,755.1,755.4,70,0,23
2022/9/2 3:00,28,754.3,754.6,74,0,23
2022/9/2 4:00,28,754.3,754.6,70,0,22
2022/9/2 5:00,28,755.1,755.4,66,0,21
2022/9/2 6:00,27,755.1,755.4,70,0,21
2022/9/2 7:00,27,755.9,756.2,70,0,21
2022/9/2 8:00,29,755.9,756.2,62,0,21
2022/9/2 9:00,29,755.9,756.2,62,0,21
2022/9/2 10:00,31,755.9,756.2,52,0,20
2022/9/2 11:00,31,755.1,755.4,55,0,21
2022/9/2 12:00,32,754.3,754.6,52,0,21
2022/9/2 13:00,32,754.3,754.6,55,0,22
2022/9/2 14:00,32,753.6,753.9,55,0,22
2022/9/2 15:00,33,752.8,753.1,49,0,21
2022/9/2 16:00,32,752.8,753.1,52,0,21
