time,T,P0,P,U,nRAIN,Td
2022/9/1 0:00,27.3,750.6,756.1,87,0,24.9
2022/9/1 1:00,27.3,750.6,756.1,87,0,24.9
2022/9/1 2:00,27.3,750.6,756.1,87,0,24.9
2022/9/1 3:00,27.3,750.6,756.1,87,0,24.9
2022/9/1 4:00,27.3,750.6,756.1,87,0,24.9
2022/9/1 5:00,27.2,750.5,756,89,0,25.2
2022/9/1 6:00,27.2,750.5,756,89,0,25.2
2022/9/1 7:00,27.2,750.5,756,89,0,25.2
2022/9/1 8:00,28.6,751.4,756.9,80,0,24.8
2022/9/1 9:00,28.6,751.4,756.9,80,0,24.8
2022/9/1 10:00,28.6,751.4,756.9,80,0,24.8
2022/9/1 11:00,30.8,751.6,757,72,0,25.1
2022/9/1 12:00,30.8,751.6,757,72,0,25.1
2022/9/1 13:00,30.8,751.6,757,72,0,25.1
2022/9/1 14:00,31.3,750.4,755.9,72,0,25.6
2022/9/1 15:00,31.3,750.4,755.9,72,0,25.6
2022/9/1 16:00,31.3,750.4,755.9,72,0,25.6
2022/9/1 17:00,29.2,749.9,755.4,80,0,25.5
2022/9/1 18:00,29.2,749.9,755.4,80,0,25.5
2022/9/1 19:00,29.2,749.9,755.4,80,0,25.5
2022/9/1 20:00,29,750.7,756.2,80,0,25.1
2022/9/1 21:00,29,750.7,756.2,80,0,25.1
2022/9/1 22:00,29,750.7,756.2,80,0,25.1
2022/9/1 23:00,28.3,751.2,756.7,77,0,23.8
2022/9/2 0:00,28.3,751.2,756.7,77,0,23.8
2022/9/2 1:00,28.3,751.2,756.7,77,0,23.8
2022/9/2 2:00,27.4,750,755.5,77,0,23
2022/9/2 3:00,27.4,750,755.5,77,0,23
2022/9/2 4:00,27.4,750,755.5,77,0,23
2022/9/2 5:00,26.5,750.1,755.6,72,0,21
2022/9/2 6:00,26.5,750.1,755.6,72,0,21
2022/9/2 7:00,26.5,750.1,755.6,72,0,21
2022/9/2 8:00,26.5,750.7,756.1,71,0,20.8
2022/9/2 9:00,26.5,750.7,756.1,71,0,20.8
2022/9/2 10:00,26.5,750.7,756.1,71,0,20.8
2022/9/2 11:00,28.9,750.3,755.8,59,0,20
2022/9/2 12:00,28.9,750.3,755.8,59,0,20
2022/9/2 13:00,28.9,750.3,755.8,59,0,20
2022/9/2 14:00,30.7,748.4,753.9,56,0,20.9
2022/9/2 15:00,30.7,748.4,753.9,56,0,20.9
2022/9/2 16:00,30.7,748.4,753.9,56,0,20.9
2022/9/2 17:00,30.3,748,753.4,60,0,21.6
2022/9/2 18:00,30.3,748,753.4,60,0,21.6
2022/9/2 19:00,30.3,748,753.4,60,0,21.6
2022/9/2 20:00,29.3,748.8,754.3,59,0,20.4
2022/9/2 21:00,29.3,748.8,754.3,59,0,20.4
2022/9/2 22:00,29.3,748.8,754.3,59,0,20.4
2022/9/2 23:00,28.3,749.2,754.7,61,0,20
2022/9/3 0:00,28.3,749.2,754.7,61,0,20
2022/9/3 1:00,28.3,749.2,754.7,61,0,20
2022/9/3 2:00,27,747.9,753.4,66,0,20.1
2022/9/3 3:00,27,747.9,753.4,66,0,20.1
2022/9/3 4:00,27,747.9,753.4,66,0,20.1
2022/9/3 5:00,26,747.4,752.9,68,0,19.6
2022/9/3 6:00,26,747.4,752.9,68,0,19.6
2022/9/3 7:00,26,747.4,752.9,68,0,19.6
2022/9/3 8:00,26.4,748.6,754,64,0,19
2022/9/3 9:00,26.4,748.6,754,64,0,19
2022/9/3 10:00,26.4,748.6,754,64,0,19
2022/9/3 11:00,29.1,747.8,753.3,53,0,18.5
2022/9/3 12:00,29.1,747.8,753.3,53,0,18.5
2022/9/3 13:00,29.1,747.8,753.3,53,0,18.5
2022/9/3 14:00,31.1,746.1,751.5,52,0,20
2022/9/3 15:00,31.1,746.1,751.5,52,0,20
2022/9/3 16:00,31.1,746.1,751.5,52,0,20
2022/9/3 17:00,31.3,745.6,751.1,50,0,19.6
2022/9/3 18:00,31.3,745.6,751.1,50,0,19.6
2022/9/3 19:00,31.3,745.6,751.1,50,0,19.6
2022/9/3 20:00,29.7,746.8,752.3,54,0,19.4
2022/9/3 21:00,29.7,746.8,752.3,54,0,19.4
2022/9/3 22:00,29.7,746.8,752.3,54,0,19.4
2022/9/3 23:00,29.3,747.6,753.1,55,0,19.3
2022/9/4 0:00,29.3,747.6,753.1,55,0,19.3
2022/9/4 1:00,29.3,747.6,753.1,55,0,19.3
2022/9/4 2:00,28.3,747.1,752.5,57,0,18.9
2022/9/4 3:00,28.3,747.1,752.5,57,0,18.9
2022/9/4 4:00,28.3,747.1,752.5,57,0,18.9
2022/9/4 5:00,26.7,747.1,752.6,63,0,19
2022/9/4 6:00,26.7,747.1,752.6,63,0,19
2022/9/4 7:00,26.7,747.1,752.6,63,0,19
2022/9/4 8:00,27.3,748.3,753.7,60,0,18.8
2022/9/4 9:00,27.3,748.3,753.7,60,0,18.8
2022/9/4 10:00,27.3,748.3,753.7,60,0,18.8
2022/9/4 11:00,29.8,748,753.5,54,0,19.4
2022/9/4 12:00,29.8,748,753.5,54,0,19.4
2022/9/4 13:00,29.8,748,753.5,54,0,19.4
2022/9/4 14:00,32,746.5,751.9,48,0,19.6
2022/9/4 15:00,32,746.5,751.9,48,0,19.6
