TAZID,longitude,latitude,charge_count,area,perimeter
1066,113.9103013,22.5212867,40,1577892.982,5119.3013
1068,113.91868,22.5178365,271,1405268.834,5460.2638
1096,113.9199021,22.5314284,70,1074909.185,4437.0676
326,113.9318867,22.5357753,106,1963022.086,6447.5728
1085,113.9257887,22.521524,59,387839.4781,2688.324
1088,113.9241926,22.5126697,290,765505.0295,3724.5077
937,114.5010128,22.4935749,22,33292904.11,37959.511
506,113.9056545,22.5684477,228,3296103.406,7796.8479
1098,113.895982,22.5585447,60,1522271.332,5189.2905
316,113.8955526,22.5370779,4,5513679.088,11176.98
501,113.8862439,22.5510208,47,2835686.366,7877.3746
1074,113.9213878,22.5393958,124,998873.7796,4162.7267
777,114.1276384,22.7094019,221,5007215.483,18370.0512
686,114.0420694,22.7390231,89,4095817.101,8834.7365
682,114.0325789,22.7521838,88,2999728.998,13066.7853
1026,114.0808074,22.634883,77,1981578.967,5713.9732
783,114.100034,22.6456215,24,5209052.488,16379.337
795,114.111686,22.6328506,110,4395377.728,8621.4278
943,114.4177689,22.6309033,21,9124862.302,14879.4286
881,114.3355451,22.6511442,88,49933877,42393.5535
771,114.246134,22.6447536,24,12782458.41,22007.842
891,114.3739663,22.7090945,54,3280787.594,11325.9871
224,114.0697911,22.524168,139,1827878.063,6198.1673
1104,114.0645549,22.5271272,27,476299.8017,3480.0366
408,114.2990789,22.599102,57,4386485.281,13001.8672
406,114.2731971,22.5786871,14,6405791.042,22521.9338
792,114.2233245,22.6569194,6,5066749.67,9724.6104
790,114.229542,22.6721291,40,5068093.869,11431.6289
901,114.3823492,22.7276753,67,6342075.908,10202.1945
904,114.3895914,22.709726,54,4355587.034,8613.2357
887,114.4092459,22.7070725,36,2567051.85,7214.2561
982,114.2091625,22.6419489,18,2691789.038,7113.0473
981,114.1988788,22.6452708,91,975840.3762,4901.057
987,114.2052041,22.6592665,45,1236892.148,4980.1256
900,114.3387673,22.7078591,18,1816683.418,6778.0821
897,114.4011228,22.7454814,35,5361964.366,18807.9718
124,114.1830346,22.5889031,164,26919024.71,25128.1089
773,114.1600098,22.628569,40,5552511.973,12825.0707
979,114.1821338,22.6291721,16,2649581.015,8304.9
986,114.187945,22.6384381,236,769679.6783,3634.2369
988,114.1949584,22.6507244,55,1456138.029,5301.7519
977,114.1928482,22.6584973,29,1550479.033,6397.0175
893,114.3603092,22.7588193,18,4856654.244,12247.6593
895,114.3940215,22.756186,45,4408375.899,8891.0158
972,114.1407987,22.6313934,75,3721386.909,9036.2847
983,114.1706728,22.6406676,17,1888643.732,5705.0197
975,114.1751366,22.6493121,18,1463496.274,5985.9811
984,114.1840988,22.6451509,16,778495.0036,3545.5354
848,114.2932963,22.6814584,12,4956530.57,22413.3337
