name,location,id,longitude,latitude
冰雪世界南公交首末站(公交站),"113.769627,22.709732",BV09447897,113.769627,22.709732
前海冰雪世界(公交站),"113.770256,22.716250",BV09446847,113.770256,22.71625
广雅花园站(公交站),"113.894974,22.780273",BV11689559,113.894974,22.780273
红花山公园(公交站),"113.898508,22.778718",BV10243450,113.898508,22.778718
公明街道办(公交站),"113.894753,22.779604",BV11336412,113.894753,22.779604
下辇(公交站),"113.898833,22.784253",BV10242274,113.898833,22.784253
公明天虹2(公交站),"113.893290,22.780945",BV10607198,113.89329,22.780945
公明中心换乘站1(公交站),"113.898210,22.777664",BV10634865,113.89821,22.777664
公明中心换乘站(公交站),"113.898368,22.777639",BV10643793,113.898368,22.777639
公明天虹1(公交站),"113.892530,22.781562",BV10628295,113.89253,22.781562
上辇(公交站),"113.901268,22.784206",BV10248127,113.901268,22.784206
公明派出所(公交站),"113.892652,22.784753",BV10748787,113.892652,22.784753
公明广场地铁站1(公交站),"113.892310,22.777294",BV10423669,113.89231,22.777294
上辇村口(公交站),"113.902927,22.783971",BV11186160,113.902927,22.783971
光明第二中学(公交站),"113.896678,22.774926",BV11312802,113.896678,22.774926
公明广场地铁站2(公交站),"113.891318,22.777690",BV11448627,113.891318,22.77769
雍景城西(公交站),"113.904193,22.779614",BV10977154,113.904193,22.779614
长宁松白路口(招呼站)(公交站),"113.895728,22.774828",BV09105403,113.895728,22.774828
中心商城(公交站),"113.889918,22.780673",BV10243449,113.889918,22.780673
公明广场地铁站(公交站),"113.890863,22.777346",BV09105407,113.890863,22.777346
光明党校(公交站),"113.902959,22.777213",BV11633762,113.902959,22.777213
公明广场地铁站(C口)(公交站),"113.890863,22.777346",BV09300295,113.890863,22.777346
红花振明路口(公交站),"113.901146,22.775200",BV11633735,113.901146,22.7752
天汇城首末站(公交站),"113.894013,22.774448",BV11269109,113.894013,22.774448
上辇新村(公交站),"113.904230,22.784532",BV11301899,113.90423,22.784532
宏发上域(公交站),"113.905388,22.783373",BV10747969,113.905388,22.783373
公明居委会(公交站),"113.888643,22.782967",BV10246514,113.888643,22.782967
中粮云景广场(公交站),"113.888620,22.778811",BV11452386,113.88862,22.778811
上村元山(公交站),"113.896296,22.789259",BV11010091,113.896296,22.789259
光明文化馆(公交站),"113.903142,22.775234",BV11044684,113.903142,22.775234
长宁振兴路口(招呼站)(公交站),"113.894889,22.773509",BV09105406,113.894889,22.773509
公明老街(公交站),"113.887951,22.783077",BV10246513,113.887951,22.783077
北环风景北路口(公交站),"113.903997,22.786949",BV11301900,113.903997,22.786949
天汇城(公交站),"113.894770,22.772387",BV11213758,113.89477,22.772387
天汇城二期(招呼站)(公交站),"113.893210,22.772911",BV09105395,113.89321,22.772911
松白金安路口(公交站),"113.888990,22.775751",BV11226827,113.88899,22.775751
合水口第四工业区(公交站),"113.890595,22.773742",BV11213757,113.890595,22.773742
红花山体育中心(公交站),"113.906798,22.775975",BV10918186,113.906798,22.775975
公明中行(公交站),"113.905506,22.773402",BV10248132,113.905506,22.773402
荣昌科技园(公交站),"113.888130,22.773454",BV11214735,113.88813,22.773454
佳裕科技园(招呼站)(公交站),"113.887710,22.772310",BV09105405,113.88771,22.77231
下村第五工业区(公交站),"113.896111,22.797440",BV11268888,113.896111,22.79744
西田社康(公交站),"113.900451,22.800126",BV11351637,113.900451,22.800126
志康路(公交站),"113.898911,22.801957",BV10783329,113.898911,22.801957
西田居委会(公交站),"113.900872,22.798611",BV11592792,113.900872,22.798611
河堤路口(公交站),"113.893503,22.799562",BV11592791,113.893503,22.799562
炮台路口(公交站),"113.895091,22.802140",BV11015490,113.895091,22.80214
西田社区(公交站),"113.899405,22.796396",BV11268887,113.899405,22.796396
西田公园正门(公交站),"113.900278,22.801988",BV10783336,113.900278,22.801988
李松蓢学校(公交站),"113.894002,22.801771",BV11367290,113.894002,22.801771
上村居委会(公交站),"113.899001,22.794931",BV11147378,113.899001,22.794931
西田村(公交站),"113.901951,22.797476",BV11273582,113.901951,22.797476
河堤炮台路口(公交站),"113.892293,22.798467",BV09347598,113.892293,22.798467
李松蓢路口(公交站),"113.892624,22.796498",BV10243093,113.892624,22.796498
西田大桥南(公交站),"113.899238,22.793327",BV11034569,113.899238,22.793327
冠城产业园(公交站),"113.903195,22.795211",BV10248126,113.903195,22.795211
西田公园(公交站),"113.903067,22.803679",BV10742993,113.903067,22.803679
李松蓢公园(公交站),"113.888381,22.798615",BV10249109,113.888381,22.798615
下村党群服务中心(公交站),"113.889696,22.795946",BV11407017,113.889696,22.795946
