name,location,id,longitude,latitude
会展城地铁站A口,"113.768906,22.711854",BX10034188,113.768906,22.711854
会展城(地铁站),"113.769777,22.712135",BV10861136,113.769777,22.712135
会展城地铁站D口,"113.768853,22.712220",BX10034189,113.768853,22.71222
会展城地铁站B口,"113.770647,22.712056",BX10034191,113.770647,22.712056
会展城地铁站C口,"113.770584,22.712436",BX10034190,113.770584,22.712436
国展北地铁站C2口,"113.776388,22.703588",BX10034193,113.776388,22.703588
国展北(地铁站),"113.776899,22.703129",BV10996657,113.776899,22.703129
国展北地铁站C1口,"113.776468,22.703110",BX10034192,113.776468,22.70311
国展北地铁站D口,"113.776832,22.701646",BX10034596,113.776832,22.701646
国展北地铁站B口,"113.777268,22.703512",BX09901190,113.777268,22.703512
国展北地铁站A口,"113.777327,22.701776",BX10034595,113.777327,22.701776
国展地铁站出入口,"113.777847,22.698227",BX09901223,113.777847,22.698227
国展地铁站C2口,"113.777453,22.696680",BX10034590,113.777453,22.69668
国展地铁站C1口,"113.777512,22.696251",BX10034591,113.777512,22.696251
国展(地铁站),"113.777985,22.695767",BV10996669,113.777985,22.695767
国展地铁站B口,"113.778653,22.696890",BX09901224,113.778653,22.69689
国展地铁站D口,"113.777902,22.694655",BX10035695,113.777902,22.694655
海上田园南地铁站A口,"113.775087,22.716925",BX09901245,113.775087,22.716925
国展地铁站A口,"113.778449,22.694936",BX10035694,113.778449,22.694936
海上田园南(地铁站),"113.774574,22.718084",BV10996663,113.774574,22.718084
海上田园南地铁站C口,"113.773909,22.718071",BX09901246,113.773909,22.718071
机场东地铁站D口,"113.821636,22.648595",BX09901504,113.821636,22.648595
机场东(地铁站),"113.822634,22.647001",BV10249071,113.822634,22.647001
机场东地铁站B口,"113.822704,22.647182",BX10018512,113.822704,22.647182
机场东地铁站A出口,"113.822754,22.646513",BX10021936,113.822754,22.646513
机场东地铁站E口,"113.823051,22.645673",BX09901503,113.823051,22.645673
福围(地铁站),"113.821180,22.656840",BV10996649,113.82118,22.65684
福围地铁站A口,"113.820244,22.656099",BX09906596,113.820244,22.656099
福围地铁站B1口,"113.822274,22.657266",BX09906597,113.822274,22.657266
福围地铁站B2口,"113.821997,22.657121",BX09906598,113.821997,22.657121
福围地铁站C口,"113.820937,22.657529",BX09906595,113.820937,22.657529
兴围地铁站C口,"113.833837,22.643172",BX09906138,113.833837,22.643172
兴围(地铁站),"113.834486,22.642865",BV10996662,113.834486,22.642865
兴围地铁站B口,"113.834568,22.643545",BX09906139,113.834568,22.643545
兴围地铁站D口,"113.834619,22.641924",BX09906140,113.834619,22.641924
兴围地铁站A口,"113.835281,22.642391",BX09906137,113.835281,22.642391
华为地铁站D口,"114.066444,22.650707",BX09906367,114.066444,22.650707
华为地铁站E口,"114.066383,22.650359",BX09906365,114.066383,22.650359
华为(地铁站),"114.067171,22.650445",BV10672431,114.067171,22.650445
华为地铁站F口,"114.066688,22.649721",BX09906368,114.066688,22.649721
华为地铁站A口,"114.066985,22.649454",BX09906364,114.066985,22.649454
